Team,Cap,Rank,YearMeanCap,RelativePay
Bulls2018,90105625,1,110191023,81.80%
Suns2018,92518634,2,110191023,84.00%
Pacers2018,93661969,3,110191023,85.00%
Magic2018,95538311,4,110191023,86.70%
Nets2018,95964560,5,110191023,87.10%
Mavericks2018,96843033,6,110191023,87.90%
Kings2018,97154206,7,110191023,88.20%
76ers2018,100020936,8,110191023,90.80%
Hawks2018,100108457,9,110191023,90.80%
Lakers2018,102177393,10,110191023,92.70%
Knicks2018,104405156,11,110191023,94.70%
Heat2018,105065917,12,110191023,95.30%
Timberwolves2018,105179927,13,110191023,95.50%
Nuggets2018,106515203,14,110191023,96.70%
Jazz2018,106862254,15,110191023,97.00%
Grizzlies2018,109902725,16,110191023,99.70%
Celtics2018,115075693,17,110191023,104.40%
Spurts2018,116153554,18,110191023,105.40%
Bucks2018,116214360,19,110191023,105.50%
Raptors2018,116583186,20,110191023,105.80%
Hornets2018,117228164,21,110191023,106.40%
Rockets2018,118271451,22,110191023,107.30%
Pelicans2018,118813359,23,110191023,107.80%
Clippers2018,118817049,24,110191023,107.80%
Pistons2018,118897722,25,110191023,107.90%
Trailblazers2018,119265261,26,110191023,108.20%
Wizards2018,124114043,27,110191023,112.60%
Thunder2018,132920346,28,110191023,120.60%
Warriors2018,135371746,29,110191023,122.90%
Cavaliers2018,135980450,30,110191023,123.40%
Timberwolves2017,71566819,1,100552594,71.20%
Jazz2017,80498192,2,100552594,80.10%
Nets2017,83730005,3,100552594,83.30%
Suns2017,85055253,4,100552594,84.60%
76ers2017,92300991,5,100552594,91.80%
Bucks2017,92676330,6,100552594,92.20%
Pacers2017,94002004,7,100552594,93.50%
Lakers2017,94204120,8,100552594,93.70%
Hawks2017,95563799,9,100552594,95.00%
Kings2017,95667032,10,100552594,95.10%
Celtics2017,96212786,11,100552594,95.70%
Bulls2017,96998425,12,100552594,96.50%
Warriors2017,100241842,13,100552594,99.70%
Pelicans2017,101417816,14,100552594,100.90%
Heat2017,101820405,15,100552594,101.30%
Hornets2017,102036240,16,100552594,101.50%
Wizards2017,102337716,17,100552594,101.80%
Knicks2017,102613433,18,100552594,102.00%
Mavericks2017,104083711,19,100552594,103.50%
Magic2017,104294550,20,100552594,103.70%
Thunder2017,104748520,21,100552594,104.20%
Pistons2017,107901937,22,100552594,107.30%
Spurts2017,108372141,23,100552594,107.80%
Raptors2017,108649969,24,100552594,108.10%
Rockets2017,109070494,25,100552594,108.50%
Grizzlies2017,110869863,26,100552594,110.30%
Trailblazers2017,112916238,27,100552594,112.30%
Nuggets2017,115066504,28,100552594,114.40%
Clippers2017,115070532,29,100552594,114.40%
Cavaliers2017,126590163,30,100552594,125.90%
Magic2016,64462856,1,78758228,81.80%
Jazz2016,64817873,2,78758228,82.30%
Trailblazers2016,66562366,3,78758228,84.50%
76ers2016,68798037,4,78758228,87.40%
Bucks2016,70579512,5,78758228,89.60%
Timberwolves2016,70652855,6,78758228,89.70%
Hawks2016,71407945,7,78758228,90.70%
Nuggets2016,71448753,8,78758228,90.70%
Lakers2016,71965372,9,78758228,91.40%
Raptors2016,72314887,10,78758228,91.80%
Pacers2016,72413726,11,78758228,91.90%
Kings2016,72671296,12,78758228,92.30%
Mavericks2016,73096861,13,78758228,92.80%
Suns2016,73443637,14,78758228,93.30%
Knicks2016,73449788,15,78758228,93.30%
Pistons2016,75603690,16,78758228,96.00%
Celtics2016,77166671,17,78758228,98.00%
Hornets2016,78532364,18,78758228,99.70%
Nets2016,80503847,19,78758228,102.20%
Pelicans2016,81425760,20,78758228,103.40%
Grizzlies2016,83382043,21,78758228,105.90%
Heat2016,84619637,22,78758228,107.40%
Wizards2016,86186114,23,78758228,109.40%
Spurts2016,87594996,24,78758228,111.20%
Rockets2016,88387446,25,78758228,112.20%
Bulls2016,88546602,26,78758228,112.40%
Thunder2016,93765298,27,78758228,119.10%
Warriors2016,95777682,28,78758228,121.60%
Clippers2016,96140524,29,78758228,122.10%
Cavaliers2016,107028394,30,78758228,135.90%
Bucks2015,55114481,1,70056405,78.70%
Nuggets2015,56142354,2,70056405,80.10%
Hawks2015,58328957,3,70056405,83.30%
Magic2015,58830518,4,70056405,84.00%
Jazz2015,58905618,5,70056405,84.10%
Suns2015,60237268,6,70056405,86.00%
Celtics2015,60403234,7,70056405,86.20%
76ers2015,63854302,8,70056405,91.10%
Pistons2015,63871995,9,70056405,91.20%
Hornets2015,65680052,10,70056405,93.80%
Bulls2015,67432537,11,70056405,96.30%
Timberwolves2015,67919790,12,70056405,97.00%
Lakers2015,70374042,13,70056405,100.50%
Spurts2015,70379233,14,70056405,100.50%
Pelicans2015,70413595,15,70056405,100.50%
Warriors2015,72585093,16,70056405,103.60%
Trailblazers2015,72994755,17,70056405,104.20%
Wizards2015,73502681,18,70056405,104.90%
Rockets2015,74050249,19,70056405,105.70%
Kings2015,74176743,20,70056405,105.90%
Grizzlies2015,74760326,21,70056405,106.70%
Pacers2015,74798942,22,70056405,106.80%
Mavericks2015,75014621,23,70056405,107.10%
Heat2015,75966404,24,70056405,108.40%
Raptors2015,76096523,25,70056405,108.60%
Thunder2015,78791633,26,70056405,112.50%
Knicks2015,80629628,27,70056405,115.10%
Clippers2015,80629773,28,70056405,115.10%
Cavaliers2015,81377634,29,70056405,116.20%
Nets2015,88429175,30,70056405,126.20%
Magic2014,53516731,1,67716601,79.00%
Suns2014,53785384,2,67716601,79.40%
Bucks2014,54229524,3,67716601,80.10%
76ers2014,57078203,4,67716601,84.30%
Jazz2014,57426670,5,67716601,84.80%
Hawks2014,58477559,6,67716601,86.40%
